ImgPath,label,leftelbow,lefthip,leftknee,rightelbow,righthip,rightknee,EKleft,EKright,EE,KK
Archive/Train Data/Dataset20/6/2_35.jpg,6,58.37126673,168.3549642,158.1356924,160.3759075,159.9194536,168.7346741,164.0007648,162.4104481,18.30328561,15.87437236
Archive/Train Data/Dataset20/6/3_516.jpg,6,119.3345684,74.94603382,130.4379989,113.5297654,36.72442454,38.5089772,25.7449227,23.82868725,120.4167253,51.11470309
Archive/Train Data/Dataset20/6/2_249.jpg,6,147.2854019,83.63061834,156.1621074,160.4385853,113.9926238,166.5226591,109.406103,70.21656923,70.17217473,154.8978454
Archive/Train Data/Dataset20/6/3_700.jpg,6,161.022521,107.6746456,154.2933119,125.2980895,72.88558241,176.1852277,45.5626255,75.17674907,96.21728299,121.0225364
Archive/Train Data/Dataset20/6/3_61.jpg,6,116.0145241,88.31991567,156.0102397,110.1843359,83.60615842,150.658516,77.6691478,69.92755457,63.52580383,161.0830752
Archive/Train Data/Dataset20/6/2_473.jpg,6,128.8664409,108.9363286,166.1237924,152.0183667,91.11716497,174.2414213,116.8640469,63.24988722,98.58930442,154.0201267
Archive/Train Data/Dataset20/6/2_117.jpg,6,96.8350337,56.52206721,164.8682801,105.5623056,61.37688856,162.8292416,92.41669847,62.0968254,28.23265163,100.8692221
Archive/Train Data/Dataset20/6/3_339.jpg,6,153.8252612,111.3959705,136.2409751,116.6461175,81.11079629,176.6906379,94.34501047,44.10176707,142.0329205,164.404694
Archive/Train Data/Dataset20/6/1_770.jpg,6,155.1628446,166.0210957,177.0001616,164.8115329,163.1702862,175.8055948,5.092958591,173.399129,16.29695639,9.921561337
Archive/Train Data/Dataset20/6/1_758.jpg,6,106.6482751,157.227788,169.8683543,152.7995259,144.7149088,151.0463579,123.8441821,139.7514528,23.64581966,19.98047279
Archive/Train Data/Dataset20/6/2_300.jpg,6,103.8711811,122.9302026,150.3382361,128.6701852,92.41254681,154.3832168,26.93398073,136.8588819,75.74723371,62.43254391
Archive/Train Data/Dataset20/6/3_113.jpg,6,152.7546935,50.89835331,158.4147923,119.044137,28.12948558,169.3810303,31.20656142,30.14704618,91.26194874,90.57894349
Archive/Train Data/Dataset20/6/3_48.jpg,6,173.4943354,89.73303201,152.4278534,160.2725646,92.64338384,148.1678312,37.78084061,79.32719616,146.3870773,97.84318972
Archive/Train Data/Dataset20/6/3_715.jpg,6,151.6116399,68.82820332,168.293254,155.3116182,85.27427332,166.6855106,31.32449693,68.0431582,91.98466398,83.35895067
Archive/Train Data/Dataset20/6/2_260.jpg,6,161.6712327,172.5919954,176.6238851,154.6521867,19.16871418,83.91337591,29.84726297,163.635569,24.24752997,5.740122715
Archive/Train Data/Dataset20/6/2_512.jpg,6,154.2709033,61.33235667,150.4674433,150.1631771,104.5518099,128.0476841,56.12726336,56.70122193,69.22121594,60.07213421
Archive/Train Data/Dataset20/6/1_59.jpg,6,150.6712265,110.8043506,161.6527801,159.4258982,118.038654,171.9603674,87.90811895,105.2292774,88.94430473,63.9051728
